# Результаты расчета кинематики КШМ
# Дата создания: Sat Oct 25 16:19:14 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.0756 м
# λ: 0.27
# Частота вращения: 5600 об/мин
# Угол развала: 90 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361
# Расчет выполнен для главного и бокового цилиндров
# Боковой цилиндр имеет угол развала: 90 град.

alpha[град],stroke_full_main[м];stroke1_main[м];stroke2_main[м];velocity_full_main[м/с];velocity1_main[м/с];velocity2_main[м/с];acceleration_full_main[м/с²];acceleration1_main[м/с²];acceleration2_main[м/с²];stroke_full_side[м];stroke1_side[м];stroke2_side[м];velocity_full_side[м/с];velocity1_side[м/с];velocity2_side[м/с];acceleration_full_side[м/с²];acceleration1_side[м/с²];acceleration2_side[м/с²]
50.000000;0.033060;0.027005;0.005989;39.986387;33.961933;5.894184;15598.361799;16711.775091;-1218.958948;0.021936;0.017687;0.004217;-34.482455;-28.497446;-5.894184;21283.961241;19916.318003;1218.958948
51.000000;0.034257;0.028023;0.006164;40.441728;34.454110;5.854322;14999.889441;16361.642130;-1459.478696;0.020919;0.016848;0.004042;-33.841097;-27.900388;-5.854322;21813.863117;20204.945342;1459.478696
52.000000;0.035467;0.029056;0.006338;40.879200;34.935791;5.807328;14397.624874;16006.525254;-1698.220294;0.019922;0.016026;0.003868;-33.184095;-27.294832;-5.807328;22335.215684;20487.418060;1698.220294
53.000000;0.036690;0.030103;0.006510;41.298696;35.406831;5.753258;13791.990110;15646.532636;-1934.892872;0.018944;0.015223;0.003696;-32.511708;-26.680961;-5.753258;22847.659145;20763.650111;1934.892872
54.000000;0.037925;0.031163;0.006680;41.700123;35.867085;5.692179;13183.409129;15281.773933;-2169.208081;0.017987;0.014438;0.003526;-31.824207;-26.058963;-5.692179;23350.840765;21033.557353;2169.208081
55.000000;0.039172;0.032238;0.006848;42.083398;36.316414;5.624165;12572.307409;14912.360253;-2400.880445;0.017050;0.013672;0.003358;-31.121873;-25.429027;-5.624165;23844.415121;21297.057571;2400.880445
56.000000;0.040430;0.033325;0.007015;42.448453;36.754681;5.549298;11959.111431;14538.404123;-2629.627705;0.016135;0.012925;0.003191;-30.404996;-24.791345;-5.549298;24328.044334;21554.070498;2629.627705
57.000000;0.041698;0.034425;0.007179;42.795233;37.181751;5.467671;11344.248189;14160.019455;-2855.171169;0.015240;0.012197;0.003027;-29.673877;-24.146112;-5.467671;24801.398291;21804.517846;2855.171169
58.000000;0.042977;0.035538;0.007340;43.123694;37.597496;5.379382;10728.144668;13777.321508;-3077.236047;0.014368;0.011488;0.002866;-28.928827;-23.493523;-5.379382;25264.154851;22048.323327;3077.236047
59.000000;0.044265;0.036663;0.007499;43.433805;38.001788;5.284539;10111.227331;13390.426855;-3295.551787;0.013519;0.010798;0.002707;-28.170166;-22.833778;-5.284539;25716.000038;22285.412675;3295.551787
60.000000;0.045562;0.037800;0.007654;43.725549;38.394505;5.183258;9493.921586;12999.453349;-3509.852404;0.012692;0.010128;0.002552;-27.398224;-22.167078;-5.183258;26156.628220;22515.713671;3509.852404
61.000000;0.046868;0.038948;0.007807;43.998920;38.775526;5.075662;8876.651246;12604.520083;-3719.876807;0.011888;0.009479;0.002399;-26.613338;-21.493625;-5.075662;26585.742280;22739.156162;3719.876807
62.000000;0.048181;0.040108;0.007957;44.253926;39.144736;4.961882;8259.837985;12205.747358;-3925.369113;0.011108;0.008849;0.002249;-25.815856;-20.813625;-4.961882;27003.053771;22955.672086;3925.369113
63.000000;0.049502;0.041278;0.008102;44.490586;39.502022;4.842057;7643.900786;11803.256644;-4126.078962;0.010351;0.008240;0.002104;-25.006134;-20.127285;-4.842057;27408.283058;23165.195489;4126.078962
64.000000;0.050829;0.042459;0.008245;44.708933;39.847275;4.716332;7029.255384;11397.170544;-4321.761819;0.009619;0.007651;0.001961;-24.184534;-19.434815;-4.716332;27801.159458;23367.662550;4321.761819
65.000000;0.052163;0.043650;0.008383;44.909011;40.180390;4.584861;6416.313713;10987.612756;-4512.179274;0.008912;0.007083;0.001823;-23.351428;-18.736424;-4.584861;28181.421356;23563.011594;4512.179274
66.000000;0.053502;0.044851;0.008518;45.090877;40.501266;4.447804;5805.483337;10574.708034;-4697.099335;0.008230;0.006536;0.001688;-22.507196;-18.032326;-4.447804;28548.816325;23751.183117;4697.099335
67.000000;0.054846;0.046061;0.008648;45.254600;40.809805;4.305329;5197.166898;10158.582153;-4876.296703;0.007572;0.006010;0.001558;-21.652224;-17.322735;-4.305329;28903.101227;23932.119800;4876.296703
68.000000;0.056195;0.047280;0.008774;45.400261;41.105913;4.157607;4591.761551;9739.361870;-5049.553055;0.006941;0.005505;0.001432;-20.786905;-16.607867;-4.157607;29244.042310;24105.766526;5049.553055
69.000000;0.057549;0.048507;0.008895;45.527952;41.389500;4.004821;3989.658414;9317.174884;-5216.657305;0.006335;0.005021;0.001311;-19.911641;-15.887940;-4.004821;29571.415294;24272.070403;5216.657305
70.000000;0.058905;0.049743;0.009012;45.637777;41.660479;3.847155;3391.242014;8892.149795;-5377.405861;0.005756;0.004559;0.001194;-19.026839;-15.163174;-3.847155;29885.005453;24430.980772;5377.405861
71.000000;0.060265;0.050987;0.009124;45.729852;41.918768;3.684802;2796.889742;8464.416071;-5531.602876;0.005203;0.004119;0.001082;-18.132911;-14.433789;-3.684802;30184.607682;24582.449228;5531.602876
72.000000;0.061627;0.052238;0.009231;45.804303;42.164288;3.517960;2206.971322;8034.104005;-5679.060485;0.004676;0.003700;0.000975;-17.230277;-13.700007;-3.517960;30470.026569;24726.429631;5679.060485
73.000000;0.062991;0.053497;0.009334;45.861267;42.396964;3.346832;1621.848280;7601.344672;-5819.599034;0.004177;0.003303;0.000872;-16.319361;-12.962053;-3.346832;30741.076447;24862.878125;5819.599034
74.000000;0.064357;0.054762;0.009431;45.900892;42.616726;3.171626;1041.873436;7166.269896;-5953.047298;0.003705;0.002929;0.000775;-15.400595;-12.220149;-3.171626;30997.581453;24991.753145;5953.047298
75.000000;0.065723;0.056033;0.009522;45.923338;42.823506;2.992555;467.390396;6729.012205;-6079.242691;0.003261;0.002576;0.000684;-14.474413;-11.474524;-2.992555;31239.375570;25113.015434;6079.242691
76.000000;0.067090;0.057311;0.009609;45.928771;43.017242;2.809839;-101.266927;6289.704792;-6198.031463;0.002844;0.002246;0.000597;-13.541256;-10.725403;-2.809839;31466.302676;25226.628056;6198.031463
77.000000;0.068457;0.058594;0.009690;45.917371;43.197874;2.623700;-663.774781;5848.481473;-6309.268889;0.002455;0.001938;0.000516;-12.601568;-9.973015;-2.623700;31678.216574;25332.556403;6309.268889
78.000000;0.069823;0.059882;0.009765;45.889325;43.365348;2.434364;-1219.820032;5405.476651;-6412.819442;0.002094;0.001652;0.000441;-11.655798;-9.217589;-2.434364;31874.981031;25430.768208;6412.819442
79.000000;0.071188;0.061175;0.009834;45.844830;43.519612;2.242062;-1769.100583;4960.825268;-6508.556962;0.001761;0.001389;0.000372;-10.704399;-8.459356;-2.242062;32056.469807;25521.233554;6508.556962
80.000000;0.072552;0.062472;0.009898;45.784091;43.660620;2.047029;-2311.325791;4514.662769;-6596.364808;0.001456;0.001149;0.000308;-9.747827;-7.698545;-2.047029;32222.566677;25603.924886;6596.364808
81.000000;0.073913;0.063774;0.009956;45.707323;43.788329;1.849501;-2846.216846;4067.125061;-6676.136000;0.001181;0.000931;0.000250;-8.786543;-6.935390;-1.849501;32373.165459;25678.817013;6676.136000
82.000000;0.075272;0.065079;0.010008;45.614749;43.902699;1.649720;-3373.507132;3618.348467;-6747.773349;0.000933;0.000736;0.000198;-7.821008;-6.170122;-1.649720;32508.170030;25745.887125;6747.773349
83.000000;0.076628;0.066387;0.010054;45.506597;44.003695;1.447929;-3892.942563;3168.469688;-6811.189575;0.000715;0.000564;0.000152;-6.851688;-5.402974;-1.447929;32627.494345;25805.114790;6811.189575
84.000000;0.077981;0.067698;0.010094;45.383106;44.091288;1.244375;-4404.281887;2717.625764;-6866.307416;0.000526;0.000414;0.000112;-5.879052;-4.634181;-1.244375;32731.062449;25856.481966;6866.307416
85.000000;0.079330;0.069011;0.010128;45.244520;44.165451;1.039304;-4907.296964;2265.954024;-6913.059719;0.000365;0.000288;0.000078;-4.903568;-3.863976;-1.039304;32818.808494;25899.973008;6913.059719
86.000000;0.080674;0.070326;0.010156;45.091090;44.226160;0.832966;-5401.773019;1813.592052;-6951.389524;0.000234;0.000184;0.000050;-3.925709;-3.092594;-0.832966;32890.676743;25935.574668;6951.389524
87.000000;0.082013;0.071643;0.010178;44.923073;44.273397;0.625614;-5887.508855;1360.677643;-6981.250131;0.000132;0.000104;0.000028;-2.945947;-2.320270;-0.625614;32946.621585;25963.276099;6981.250131
88.000000;0.083348;0.072962;0.010194;44.740732;44.307148;0.417500;-6364.317047;907.348759;-7002.605160;0.000058;0.000046;0.000012;-1.964758;-1.547240;-0.417500;32986.607535;25983.068866;7002.605160
89.000000;0.084676;0.074281;0.010203;44.544335;44.327403;0.208877;-6832.024091;453.743487;-7015.428594;0.000015;0.000012;0.000003;-0.982617;-0.773738;-0.208877;33010.609246;25994.946938;7015.428594
90.000000;0.085999;0.075600;0.010206;44.334156;44.334156;0.000000;-7290.470535;0.000000;-7019.704808;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;33018.611506;25998.906698;7019.704808
91.000000;0.087315;0.076919;0.010203;44.110472;44.327403;-0.208877;-7739.511065;-453.743487;-7015.428594;0.000015;0.000012;0.000003;0.982617;0.773738;0.208877;33010.609246;25994.946938;7015.428594
92.000000;0.088625;0.078238;0.010194;43.873565;44.307148;-0.417500;-8179.014564;-907.348759;-7002.605160;0.000058;0.000046;0.000012;1.964758;1.547240;0.417500;32986.607535;25983.068866;7002.605160
93.000000;0.089927;0.079557;0.010178;43.623721;44.273397;-0.625614;-8608.864142;-1360.677643;-6981.250131;0.000132;0.000104;0.000028;2.945947;2.320270;0.625614;32946.621585;25963.276099;6981.250131
94.000000;0.091221;0.080874;0.010156;43.361229;44.226160;-0.832966;-9028.957123;-1813.592052;-6951.389524;0.000234;0.000184;0.000050;3.925709;3.092594;0.832966;32890.676743;25935.574668;6951.389524
95.000000;0.092508;0.082189;0.010128;43.086381;44.165451;-1.039304;-9439.205012;-2265.954024;-6913.059719;0.000365;0.000288;0.000078;4.903568;3.863976;1.039304;32818.808494;25899.973008;6913.059719
96.000000;0.093786;0.083502;0.010094;42.799470;44.091288;-1.244375;-9839.533414;-2717.625764;-6866.307416;0.000526;0.000414;0.000112;5.879052;4.634181;1.244375;32731.062449;25856.481966;6866.307416
97.000000;0.095055;0.084813;0.010054;42.500794;44.003695;-1.447929;-10229.881940;-3168.469688;-6811.189575;0.000715;0.000564;0.000152;6.851688;5.402974;1.447929;32627.494345;25805.114790;6811.189575
98.000000;0.096315;0.086121;0.010008;42.190648;43.902699;-1.649720;-10610.204066;-3618.348467;-6747.773349;0.000933;0.000736;0.000198;7.821008;6.170122;1.649720;32508.170030;25745.887125;6747.773349
99.000000;0.097566;0.087426;0.009956;41.869334;43.788329;-1.849501;-10980.466968;-4067.125061;-6676.136000;0.001181;0.000931;0.000250;8.786543;6.935390;1.849501;32373.165459;25678.817013;6676.136000
100.000000;0.098807;0.088728;0.009898;41.537149;43.660620;-2.047029;-11340.651330;-4514.662769;-6596.364808;0.001456;0.001149;0.000308;9.747827;7.698545;2.047029;32222.566677;25603.924886;6596.364808
101.000000;0.100039;0.090025;0.009834;41.194395;43.519612;-2.242062;-11690.751119;-4960.825268;-6508.556962;0.001761;0.001389;0.000372;10.704399;8.459356;2.242062;32056.469807;25521.233554;6508.556962
